month,enterprise_id,name,total images,direct qc_done,qced_images,incorrect_images,true_accuracy,post_qc_tool_accuracy,customer_segment
Jan-26,00d2aafe9,IM Marketplace GmBH,"276,413","5,459","270,954","17,819", 93.42 %,97.81%,Ent
Jan-26,00ddd69aa,Beck Motors,"1,939",216,"1,723",252, 85.37 %,94.2%,SMB
Jan-26,00e6652a1,Rohrich Automotive Group,"8,601","3,000","5,601",953, 82.99 %,95.88%,Ent
Jan-26,0180ac645,Adams Jeep of Maryland Inc,155,10,145,13, 91.03 %,99.31%,Mid
Jan-26,01b29ad1d,ES Butler Motors Ltd,115,0,115,9, 92.17 %,98.26%,SMB
Jan-26,022fda615,Loyalty Used Car Supercenter,916,807,109,11, 89.91 %,100%,Ent
Jan-26,0256c3bb5,Abdul Majeed Saleh Khader Company,689,561,128,18, 85.94 %,89.06%,SMB
Jan-26,0303712a0,Dave Syverson Auto Center,"1,126",453,673,106, 84.25 %,95.25%,Ent
Jan-26,038268a7d,Auto Dobrovolny V.M. s.r.o.,597,0,597,142, 76.21 %,90.12%,SMB
Jan-26,0466e634b,Tauke Motors Incorporated,"1,408",46,"1,362",239, 82.45 %,97.06%,Mid
Jan-26,04c641d68,Chip Tuning Finland Oy (Autolux),451,25,426,55, 87.09 %,96.24%,SMB
Jan-26,05804cbdf,Motor World Stoke limited,602,0,602,81, 86.54 %,96.35%,SMB
Jan-26,06b94a44d,ml autos,351,0,351,26, 92.59 %,96.01%,SMB
Jan-26,07365da9c,Brownboys Motorclub,319,143,176,14, 92.05 %,97.16%,SMB
Jan-26,07dda277e,Globe Automotive,"2,409",0,"2,409",208, 91.37 %,97.3%,SMB
Jan-26,081c3a3b8,Strategic Vehicle Solutions,"2,245",230,"2,015",131, 93.5 %,96.97%,Mid
Jan-26,08452f559,Forrester Lincoln,"3,220",652,"2,568",439, 82.9 %,93.03%,Mid
Jan-26,08dc7396c,Diffee Ford Lincoln,"1,771",450,"1,321",212, 83.95 %,92.88%,Mid
Jan-26,0933d658a,Greenway Automotive Group,"100,822","7,818","93,004","9,222", 90.08 %,96.89%,Ent
Jan-26,0946c5c48,Haji Zaman Safi Motors FZE,657,0,657,154, 76.56 %,92.09%,SMB
Jan-26,095e38e26,Quality Cars Zaventem,482,15,467,41, 91.22 %,98.29%,SMB
Jan-26,09689dccc,"Fornova, Comércio e Assistência de  Veículos Lda",572,572,0,0,,,SMB
Jan-26,0b6e260c2,Star Motors,"2,399","1,005","1,394",196, 85.94 %,97.35%,SMB
Jan-26,0b714cd68,Piryani Pty Ltd TA Galaxy Autos,253,0,253,106, 58.1 %,81.82%,SMB
Jan-26,0c217975e,Autoshop Services & Second Car Center LLC,255,0,255,64, 74.9 %,94.51%,SMB
Jan-26,0c4830006,TORSVIKS BIL AB,617,2,615,56, 90.89 %,98.37%,SMB
Jan-26,0c519f5f2,SI Vallett Auto Sales,524,143,381,127, 66.67 %,81.1%,SMB
Jan-26,0cf7fa363,"iDeal Auto Imports, LLC","4,751","1,131","3,620",324, 91.05 %,97.35%,SMB
Jan-26,0eee6a3c0,Yoder Family of Companies,"3,459",0,"3,459",619, 82.1 %,95.11%,Ent
Jan-26,1145eab0b,Eddie Gilstrap Motors,"1,699",0,"1,699",342, 79.87 %,93.17%,Mid
Jan-26,119b87e93,Turpin Dodge Chrysler Jeep Ram,724,4,720,189, 73.75 %,92.5%,Mid
Jan-26,11c8ecc4b,Sherwood Ford,"5,237","3,469","1,768",184, 89.59 %,97.29%,Mid
Jan-26,12a0f97ce,Curry Chevrolet,"1,267",387,880,135, 84.66 %,97.84%,Ent
Jan-26,12dd17590,Davidson Auto Group,"10,516",510,"10,006","1,844", 81.57 %,92.74%,Ent
Jan-26,139094ac5,Bill Dickason Chevrolet,"1,564",0,"1,564",192, 87.72 %,97.38%,Mid
Jan-26,13e812f85,Version Group Co.Ltd,21,21,0,0,,,SMB
Jan-26,164b70487,Long Island Sports Cars,"1,350",16,"1,334",325, 75.64 %,89.58%,SMB
Jan-26,1713df08e,Yemm Auto,"11,108","2,914","8,194","1,016", 87.6 %,97.97%,Ent
Jan-26,1779318f8,Mount Airy Nissan,422,189,233,66, 71.67 %,90.99%,Mid
Jan-26,185a6080b,Dé Lease Maatschappij B.V.,371,0,371,67, 81.94 %,95.96%,SMB
Jan-26,19600ea63,Tru West Auto,693,433,260,115, 55.77 %,100%,Mid
Jan-26,1O103VCUW,Rawian Oy,"67,199",419,"66,780","3,475", 94.8 %,95.67%,Resellers
Jan-26,1a81d6389,Rochester Auto Mall,564,218,346,23, 93.35 %,97.69%,SMB
Jan-26,1b4de0ee2,Brierfield Car Sales,42,0,42,3, 92.86 %,100%,SMB
Jan-26,1c1f3cbe9,Meyer Imports DBA Berwyn Kia,"2,533","1,914",619,68, 89.01 %,99.52%,Ent
Jan-26,1c4421fe5,Glass Capital CDJR,177,0,177,39, 77.97 %,93.22%,Mid
Jan-26,1d4d3b2e6,Brickell Mazda,"8,807",121,"8,686",634, 92.7 %,98.69%,Ent
Jan-26,1e6cf7760,Antinell Ltd,157,1,156,16, 89.74 %,94.23%,SMB
Jan-26,1f3ac9d93,Crossroads Hyundai,"3,672",790,"2,882",310, 89.24 %,97.71%,Ent
Jan-26,1f3dcfbe3,Blasius Buick GMC,"1,595",9,"1,586",266, 83.23 %,95.78%,Ent
Jan-26,1f4725f19,Red Sparrow Motors,91,1,90,20, 77.78 %,91.11%,SMB
Jan-26,20bde9997,Hawthorne Auto Square,"7,356","4,133","3,223",918, 71.52 %,87.37%,Mid
Jan-26,21452f84c,JDMotorline LTD,"1,474",185,"1,289",162, 87.43 %,97.13%,SMB
Jan-26,216348ce1,Austin Ford CDJR,"4,979","2,280","2,699",306, 88.66 %,99.11%,Mid
Jan-26,21de286e9,Paragon Motors of Woodside Inc dba Paragon Honda,"14,653","4,847","9,806","1,067", 89.12 %,94.72%,Ent
Jan-26,22af275f9,Rolls-Royce Motor Cars Raleigh,625,5,620,50, 91.94 %,95.97%,Mid
Jan-26,248658b53,Autorola Gulf LLC,190,0,190,41, 78.42 %,93.16%,Ent
Jan-26,249fffe38,Loyalty Automotive,"1,820",489,"1,331",177, 86.7 %,97.3%,Ent
Jan-26,24e5c9f25,Envision Management Group,"1,073",770,303,89, 70.63 %,80.53%,SMB
Jan-26,24efa9f29,Autocinetum s.r.o,367,4,363,39, 89.26 %,96.42%,SMB
Jan-26,255d4e428,Joseph Toyota Of Cincinnati,"6,205","3,949","2,256",173, 92.33 %,99.02%,Mid
Jan-26,2626fb4ab,Hondru Auto Group(US),"1,383",926,457,56, 87.75 %,99.34%,Ent
Jan-26,266afc91d,Street Toyota,"2,243",94,"2,149",247, 88.51 %,98.28%,Mid
Jan-26,271f77862,Watermark Auto Group,"3,359",111,"3,248",335, 89.69 %,97.57%,Ent
Jan-26,285e87825,Sell Em All Motors,"4,756","2,972","1,784",269, 84.92 %,97.25%,SMB
Jan-26,2acceeb3e,Car Bazaar,"1,143",424,719,86, 88.04 %,95.13%,SMB
Jan-26,2ae209e53,Jerry Spady Chevrolet GMC Corvette Hummer,290,211,79,8, 89.87 %,93.67%,Mid
Jan-26,2affb0f18,Mercedes-Benz of Portsmouth,565,0,565,54, 90.44 %,96.81%,Ent
Jan-26,2b8948cea,AX Auto INC,"5,857",0,"5,857","1,444", 75.35 %,87.08%,SMB
Jan-26,2b97abb6f,Ramsey Motor Company,572,21,551,79, 85.66 %,96.55%,Mid
Jan-26,2bee617cb,"Best Deal Auto Sales, INC.","10,257",920,"9,337",450, 95.18 %,98.7%,Ent
Jan-26,2c1c8b17c,Vendedor Auto Group,"1,771",39,"1,732",401, 76.85 %,89.32%,SMB
Jan-26,2c96bae5e,Galleria BMW,"4,153",799,"3,354",785, 76.6 %,93.53%,Ent
Jan-26,2d410b1b9,INERCIKAR SA,"11,890","9,347","2,543",102, 95.99 %,97.56%,Ent
Jan-26,2e3642c1f,Magnum Car Sales,658,0,658,89, 86.47 %,94.53%,SMB
Jan-26,2e428b2fb,Covert Bee Cave,"29,874","8,308","21,566","2,825", 86.9 %,97.64%,Ent
Jan-26,2f70abb46,The Garage,969,0,969,318, 67.18 %,88.65%,SMB
Jan-26,301e65a85,Nachbar Automotive,71,0,71,24, 66.2 %,67.61%,SMB
Jan-26,30b47a604,Car Dilwado,297,151,146,11, 92.47 %,97.26%,SMB
Jan-26,31e2b4caa,Midway Dodge,"1,498",0,"1,498",193, 87.12 %,95.59%,Mid
Jan-26,32a455f86,Motorpedia365 Revolution Private Limited,"1,273",16,"1,257",143, 88.62 %,97.37%,Ent
Jan-26,32aa2472d,Park Cities Chrysler Dodge Jeep Ram Fiat & Bishop ,"2,542",692,"1,850",190, 89.73 %,99.08%,Ent
Jan-26,32c6e0eec,"Beadle Ford, INC.","1,677","1,186",491,103, 79.02 %,95.72%,Ent
Jan-26,32edbe021,Dick Dyer & Associates,"1,935",700,"1,235",406, 67.13 %,87.13%,Ent
Jan-26,32fb64ae3,Covert Ford Lincoln,"10,393","4,193","6,200",887, 85.69 %,95.39%,Ent
Jan-26,33b28d1f4,C.A. Larsen Automobiler A/S,"2,023",63,"1,960",310, 84.18 %,98.16%,Ent
Jan-26,33dadf6ac,SARL autotop,479,81,398,30, 92.46 %,96.98%,SMB
Jan-26,346ac1d22,Southern Ford of Thomaston,"1,032",75,957,124, 87.04 %,96.87%,Mid
Jan-26,347f5101d,Drivelineca.com,"1,348",881,467,39, 91.65 %,96.36%,SMB
Jan-26,3594c01ab,Amatoscar comercio automóvel s.a,964,9,955,69, 92.77 %,98.01%,SMB
Jan-26,35eb16399,Colonial Cadillac of Woburn,587,40,547,34, 93.78 %,98.72%,Ent
Jan-26,36b12b7fb,HASANAH GROUP (PTY) LTD,"1,228",52,"1,176",256, 78.23 %,93.03%,Ent
Jan-26,370216086,Hershey Motors,694,413,281,92, 67.26 %,92.88%,SMB
Jan-26,3756e853d,Sewell Family of Companies,"20,041","2,766","17,275","2,233", 87.07 %,96.05%,Ent
Jan-26,37cff87a5,White Bear Lincoln,"1,142",0,"1,142",149, 86.95 %,96.67%,Mid
Jan-26,39839bb64,Sprinkler Used Cars,"2,310",573,"1,737",423, 75.65 %,89.12%,SMB
Jan-26,3a42fb746,Princeton Chevrolet GMC,"3,050",768,"2,282",461, 79.8 %,95.92%,Ent
Jan-26,3c04c87a2,MP auto Sales LLC DBA Carizona,"7,138","2,187","4,951",911, 81.6 %,94.24%,Mid
Jan-26,3c5c59576,Bentley Greensboro & Greensboro Ineos Grenadier,854,108,746,203, 72.79 %,89.01%,Ent
Jan-26,3cfbd0342,Raleigh Pre-owned,"1,475",0,"1,475",188, 87.25 %,97.02%,SMB
Jan-26,3e7a2827f,ARJ’s Auto Sales,"2,946",17,"2,929",584, 80.06 %,98.6%,Resellers
Jan-26,3eb8f259d,Car Capital LTD,"1,322",2,"1,320",186, 85.91 %,93.18%,SMB
Jan-26,3f7a97d96,Faircy Automotive,"1,317",663,654,81, 87.61 %,99.54%,Ent
Jan-26,3f7e1de7d,Quality Assurance Autos LLC,486,183,303,156, 48.51 %,93.4%,SMB
Jan-26,411229b38,Community Motors,"1,677",360,"1,317",265, 79.88 %,92.48%,SMB
Jan-26,414beed75,Gwatney Buick GMC,"3,915","2,504","1,411",280, 80.16 %,95.61%,Mid
Jan-26,41a7a8ecd,Willowbrook Ford & Kia,"1,580",0,"1,580",402, 74.56 %,95.76%,Ent
Jan-26,41d8ea42e,Whitewater Motors Incorporated,"1,775",61,"1,714",256, 85.06 %,96.38%,Ent
Jan-26,440ba82c5,VW of Duluth,"1,475",267,"1,208",115, 90.48 %,98.34%,Mid
Jan-26,442e5dc24,Adams Chevrolet Inc,"1,575","1,221",354,61, 82.77 %,96.33%,Mid
Jan-26,44a9aa2fb,MOJSIUK Sp,797,97,700,84, 88 %,96.86%,Ent
Jan-26,45d091e8d,Direct Auto,"2,585",137,"2,448",241, 90.16 %,98.98%,Mid
Jan-26,464341d89,LES PRESTATIONS DE L'AUTO,671,0,671,55, 91.8 %,97.76%,SMB
Jan-26,47a5d9fe5,Swiss Cargate GmbH,268,5,263,14, 94.68 %,99.24%,SMB
Jan-26,481280154,Ideal Centre Ltd T/A Ideal Car Centre,634,0,634,38, 94.01 %,96.85%,SMB
Jan-26,48cf942f5,Moffitt's Ford,"4,898","3,579","1,319",298, 77.41 %,92.57%,Mid
Jan-26,48d291b7d,Charlie Clark Hyundai,"14,696","1,080","13,616","1,012", 92.57 %,97.62%,Ent
Jan-26,48e021652,Rainbow Motor Sales,246,64,182,34, 81.32 %,93.41%,SMB
Jan-26,49c19efb3,Russ Darrow Automotive Group,"26,794",559,"26,235","3,301", 87.42 %,96.53%,Ent
Jan-26,49e9b3016,Instacar SA,39,9,30,0, 100 %,100%,SMB
Jan-26,4J8975Z1G,Carvago s.r.o.,7,0,7,1, 85.71 %,100%,Ent
Jan-26,4a907ff81,"Bravo Automotive Group, LLC",181,93,88,0, 100 %,100%,Ent
Jan-26,4a9553ec1,Autos of Forney,"6,757",62,"6,695","1,383", 79.34 %,91.14%,Ent
Jan-26,4a9cfa5ec,XYZ Motors,484,0,484,59, 87.81 %,97.73%,Mid
Jan-26,4aa7031d6,Buckingham Hyundai,"1,710","1,302",408,76, 81.37 %,96.57%,Mid
Jan-26,4aeb4b2aa,HNH MOTORS LLC,646,171,475,67, 85.89 %,96.84%,SMB
Jan-26,4ba5a48e3,Duffys Auto,"2,007","1,910",97,21, 78.35 %,92.78%,SMB
Jan-26,4bf768e07,Brickell Honda,"4,414",191,"4,223",309, 92.68 %,98.27%,Ent
Jan-26,4cd846055,Asa Auto Plaza Of Austin,"1,691",426,"1,265",164, 87.04 %,97.79%,Ent
Jan-26,4d7eb0a67,Yoder Family of Companies,22,0,22,14, 36.36 %,45.45%,Ent
Jan-26,4e6b7e961,Direct Auto Sales,80,0,80,1, 98.75 %,98.75%,SMB
Jan-26,4e803a05a,Bob Moore Volkswagen,"1,119",148,971,100, 89.7 %,97.63%,Ent
Jan-26,4f772edd8,World Car Auto Group,"79,676","40,965","38,711","3,886", 89.96 %,96.26%,Ent
Jan-26,4fa5e6702,Yokem Motors LLC DBA Yokem Toyota,"1,256",54,"1,202",248, 79.37 %,98.17%,Mid
Jan-26,4fefabd10,Lamacchia Honda,"1,455",0,"1,455",318, 78.14 %,92.3%,Mid
Jan-26,5050e8479,Moore Motor Sales,"1,835",392,"1,443",119, 91.75 %,98.48%,Mid
Jan-26,51909f6fe,Tropical Used Cars,"8,964",0,"8,964",893, 90.04 %,98.07%,Mid
Jan-26,51f47b569,Keffer Inc.,"18,557","8,827","9,730","1,732", 82.2 %,95.48%,Ent
Jan-26,5292dd88c,Your Choice Auto LLC,"11,494",383,"11,111","1,283", 88.45 %,95.62%,Ent
Jan-26,53362ce17,MyCar: Trucktown,"4,176",602,"3,574",327, 90.85 %,97.62%,Ent
Jan-26,537e92283,GR Sport Limited,69,0,69,2, 97.1 %,100%,SMB
Jan-26,54f31da6d,"Baker Cadillac, Inc","1,019",55,964,102, 89.42 %,95.33%,Mid
Jan-26,551513b58,Euro Motorcars,"3,242",308,"2,934",234, 92.02 %,98.67%,Ent
Jan-26,55236c531,MAG CHRYSLER DODGE JEEP RAM,"2,420",0,"2,420",373, 84.59 %,96.69%,Mid
Jan-26,55d6e4560,Auto Reum,334,334,0,0,,,SMB
Jan-26,566cc8db5,Janssen Kool Honda,505,7,498,143, 71.29 %,98.59%,Ent
Jan-26,57823c0f3,toronto best auto,211,2,209,6, 97.13 %,100%,SMB
Jan-26,583e6c743,Nelson Automotive Inc,"1,491",0,"1,491",118, 92.09 %,98.12%,SMB
Jan-26,586ce26f7,GT Motors LLC,32,0,32,17, 46.88 %,100%,SMB
Jan-26,58e0896f7,Southey Ford,704,0,704,120, 82.95 %,96.02%,Ent
Jan-26,58edc61c0,Grand motors Inc O/A oscars motors,130,2,128,19, 85.16 %,96.88%,SMB
Jan-26,58ef7aa2c,Subaru Calgary,"1,347",322,"1,025",156, 84.78 %,96.39%,Mid
Jan-26,59ae1f81a,Sørby Autocenter,461,0,461,26, 94.36 %,99.13%,SMB
Jan-26,5a1a55a03,Renny Bettan,722,0,722,358, 50.42 %,76.59%,Mid
Jan-26,5a3805c98,McCurley Dealerships,"11,926","1,932","9,994",924, 90.75 %,98.46%,Ent
Jan-26,5afc39661,Saga Motor Group,554,3,551,22, 96.01 %,99.09%,SMB
Jan-26,5b26db185,FS Car Point,128,0,128,8, 93.75 %,100%,SMB
Jan-26,5b2cbec7c,Capital City Ford Lincoln Toyota,508,384,124,21, 83.06 %,93.55%,Mid
Jan-26,5ca032577,Adliv Motors Ltd T/A AutoXpress,"1,229",7,"1,222",169, 86.17 %,97.87%,SMB
Jan-26,5cc357db7,Median Media LLC,"18,744","1,332","17,412","1,433", 91.77 %,97.17%,Resellers
Jan-26,5d07b84f7,Dotcom Auto,"2,921",762,"2,159",325, 84.95 %,95.09%,SMB
Jan-26,5d24e7962,Jaidah Motors and Trading Company,61,7,54,1, 98.15 %,100%,SMB
Jan-26,5d9811ccd,BPR MOTORS,259,0,259,9, 96.53 %,98.07%,SMB
Jan-26,5e7752556,Greenville Automotive Group,496,158,338,33, 90.24 %,97.93%,Ent
Jan-26,5e80b8c93,All Credit Auto Sales,706,0,706,78, 88.95 %,96.6%,SMB
Jan-26,5f1f58407,Toyota Of Wallingford,"2,695",872,"1,823",284, 84.42 %,96.65%,Mid
Jan-26,5f3e806ef,TNS Autosports,994,707,287,51, 82.23 %,95.47%,SMB
Jan-26,5fd31e3bc,TX Auto Group,580,0,580,68, 88.28 %,92.93%,Mid
Jan-26,6023a1d02,Car Hop Auto Sales & Finance,"7,637","3,963","3,674",571, 84.46 %,98.88%,Ent
Jan-26,603c227f8,Roanoke Motors Inc,"1,329",4,"1,325",251, 81.06 %,97.51%,Ent
Jan-26,6069c92a3,Kimberly BMW,590,590,0,0,,,Ent
Jan-26,6104feedc,Certified Autoplex Inc.,"5,546","3,011","2,535",371, 85.36 %,93.45%,SMB
Jan-26,61233f3b2,Perfection Auto Detailing & Wheels,"2,574",981,"1,593",139, 91.27 %,97.93%,SMB
Jan-26,613ddcd2b,Rons Automotive/Carzlane Inc,"1,442",972,470,58, 87.66 %,98.94%,Ent
Jan-26,61ae1abe2,QA Imports Pty Ltd,523,21,502,69, 86.25 %,95.22%,SMB
Jan-26,61c968504,The Used Car Guys GMBH,"4,325",293,"4,032",340, 91.57 %,98.74%,Ent
Jan-26,61cbf124e,BMI AUTO,267,0,267,50, 81.27 %,93.26%,SMB
Jan-26,62b56bdae,Safy Auto Sales,835,241,594,54, 90.91 %,95.79%,SMB
Jan-26,62e3303cd,Community Ford of Mooresville,"3,207",779,"2,428",651, 73.19 %,93.9%,Mid
Jan-26,640edb0f7,Bob Johnson Automotive Group,"67,373","24,058","43,315","4,786", 88.95 %,96.31%,Ent
Jan-26,6454b95ba,Asbury Automotive Management L.L.C,"181,433","17,937","163,496","33,624", 79.43 %,95.26%,Ent
Jan-26,6460d434f,Speedway Car Sales,"13,572","7,056","6,516",974, 85.05 %,94.67%,Ent
Jan-26,65027084d,New Deal Pre-Owned Autos,"3,883",0,"3,883",205, 94.72 %,98.61%,Ent
Jan-26,652ef9315,LuxuryMotorCars,"5,101",835,"4,266",408, 90.44 %,94.89%,Mid
Jan-26,65bb3c871,Santa Motors CA,774,1,773,139, 82.02 %,90.69%,SMB
Jan-26,65c4c0ee4,Lexus of Lehigh Valley,"1,412",24,"1,388",204, 85.3 %,96.47%,Mid
Jan-26,65c97c6aa,Performance Automotive Network,"25,657","3,036","22,621","2,446", 89.19 %,96.76%,Ent
Jan-26,665ea23b3,Rochester Toyota,"1,296",0,"1,296",188, 85.49 %,95.6%,Ent
Jan-26,6671ea5b6,ASK Motors,"2,676","1,412","1,264",227, 82.04 %,97.23%,SMB
Jan-26,673fce097,Zim's Auto Sales & Services Inc,294,0,294,31, 89.46 %,96.6%,SMB
Jan-26,68cc99693,Gedi Route Cars Inc.,887,539,348,37, 89.37 %,99.71%,Mid
Jan-26,68fe4f5eb,Flexcar,"10,171",0,"10,171","2,710", 73.36 %,82.91%,Ent
Jan-26,6991aeb78,John Andrew Used Cars,"1,074",0,"1,074",196, 81.75 %,94.79%,Mid
Jan-26,6a10d4a7d,Freedom Chevrolet,"1,289",0,"1,289",383, 70.29 %,87.2%,Mid
Jan-26,6a8cd61ce,AceAutoInc,"1,049",0,"1,049",119, 88.66 %,97.04%,SMB
Jan-26,6add25efd,Vatland Auto Group,"14,338","3,723","10,615","1,458", 86.26 %,96.27%,Ent
Jan-26,6b212a82f,Starling Auto Group,"30,411","11,805","18,606","2,788", 85.02 %,95.72%,Ent
Jan-26,6b542b985,Muelas SA,212,0,212,5, 97.64 %,99.53%,SMB
Jan-26,6b594d07b,Henry-Hobscheidt Motors,"2,793","1,210","1,583",234, 85.22 %,95.89%,SMB
Jan-26,6b9774097,Quality Motors of Independence (DBA Quality Motors,557,0,557,152, 72.71 %,86.71%,Mid
Jan-26,6c01ef385,Approval Genie (6929290 Canada Corp.),"1,319",0,"1,319",121, 90.83 %,97.27%,Ent
Jan-26,6d5f8744e,Ariana Motors,"1,433",530,903,92, 89.81 %,96.46%,SMB
Jan-26,6d7a9d414,Eagle Ridge Chevrolet Buick GMC,555,469,86,19, 77.91 %,100%,Mid
Jan-26,6d9a8c93b,Al Abdulghani Motors,"1,336",0,"1,336",113, 91.54 %,95.96%,Mid
Jan-26,6ecc6bf4b,Loyalty Volkswagen,"1,740",557,"1,183",195, 83.52 %,96.53%,Ent
Jan-26,6f158bbb9,Pixel Cars,123,12,111,17, 84.68 %,98.2%,Resellers
Jan-26,70abd0693,Bemidji Chrysler & Honda of Bemidji,524,0,524,42, 91.98 %,98.47%,Mid
Jan-26,70ba109c9,Koons Automotive Inc,898,85,813,42, 94.83 %,98.52%,SMB
Jan-26,720bb9796,Airpark Motor Cars LLC,567,220,347,88, 74.64 %,95.1%,SMB
Jan-26,737a78084,Enkae Prestige Motors Ltd,"1,127",0,"1,127",115, 89.8 %,96.89%,SMB
Jan-26,740e108f7,Loyalty Toyota,"2,830",782,"2,048",327, 84.03 %,93.16%,Ent
Jan-26,749bac698,K&f Auto Sales And Service,326,0,326,73, 77.61 %,89.57%,SMB
Jan-26,7650152e5,LCS Motors,448,1,447,19, 95.75 %,99.11%,SMB
Jan-26,765c2c7bd,Groton Ford,278,1,277,69, 75.09 %,89.53%,Mid
Jan-26,76f3417b3,DIGIFLOW AUTOMOTIVE,216,216,0,0,,,Resellers
Jan-26,77ae840d7,Dimmitt Automotive Group,865,210,655,382, 41.68 %,95.88%,Ent
Jan-26,77cd3a995,Sterling Acura of Austin,"1,555",677,878,230, 73.8 %,93.28%,Mid
Jan-26,77fe99168,LG Automocion,24,24,0,0,,,SMB
Jan-26,791cbccd7,Volvo of Princeton Inc,"2,737",682,"2,055",249, 87.88 %,97.86%,Ent
Jan-26,7994a3f37,Otto Cadillac Inc,"2,366","1,647",719,199, 72.32 %,92.07%,Mid
Jan-26,79faced13,mclarty auto group (ams),"20,770","1,232","19,538","1,589", 91.87 %,98.24%,Ent
Jan-26,7a2bacfec,Covert Auto Group,"14,596",83,"14,513","1,690", 88.36 %,96.98%,Ent
Jan-26,7ae19cd76,autokuva_nobg,6,6,0,0,,,Resellers
Jan-26,7b1f6456b,Redline Auto Group,278,0,278,35, 87.41 %,98.56%,Ent
Jan-26,7baa9cc7b,Auto Export Corporation,630,146,484,24, 95.04 %,99.79%,Resellers
Jan-26,7bb652e27,Butler Lexus of South Atlanta,"3,657",897,"2,760",289, 89.53 %,96.27%,Ent
Jan-26,7cc5888c6,Loyalty Chevrolet/Cadillac,"1,062",318,744,95, 87.23 %,96.24%,Ent
Jan-26,7d0ba2fb7,Luxury Auto Plex,741,262,479,25, 94.78 %,98.33%,SMB
Jan-26,7d740344e,Royalty Autohaus ,189,0,189,5, 97.35 %,100%,SMB
Jan-26,7dcd819fd,patel Motors,158,0,158,6, 96.2 %,99.37%,SMB
Jan-26,80231b12b,Chl Cars Ltd,247,6,241,20, 91.7 %,97.93%,SMB
Jan-26,813371ee4,Dave Knapp Ford Lincoln,"2,795","1,317","1,478",166, 88.77 %,95.33%,Mid
Jan-26,816b4b9f9,Volvo Cars Fort Washington,449,0,449,65, 85.52 %,97.1%,Mid
Jan-26,81e4c0fbe,Mossy Motors,"1,791",387,"1,404",227, 83.83 %,95.8%,Mid
Jan-26,81ff9014b,Enterprise Motor Group,959,0,959,112, 88.32 %,94.99%,SMB
Jan-26,83284d8fd,The Autohaus,80,23,57,8, 85.96 %,96.49%,SMB
Jan-26,838db311d,Alliance Automotive of Westchester LLC dba White P,"5,137","1,678","3,459",468, 86.47 %,96.53%,Ent
Jan-26,83b02cc1c,Yonkers Auto Gallery,"4,381",945,"3,436",644, 81.26 %,94.97%,Ent
Jan-26,843540ef9,Impex Auto Sales,"14,005","3,574","10,431",671, 93.57 %,98.57%,Ent
Jan-26,844554576,Walt Massey Chrysler Dodge Jeep Ram Fiat,"19,992",840,"19,152","2,164", 88.7 %,97%,Ent
Jan-26,85b35506d,Vindevers Autohaus of Sylvania,"1,189",135,"1,054",138, 86.91 %,97.25%,Mid
Jan-26,877d82ed4,"Superior Auto, INC","3,906",74,"3,832",518, 86.48 %,96.01%,Mid
Jan-26,87b2e0c86,Auto Park Chrysler Dodge Jeep Ram,"4,506",556,"3,950",632, 84 %,97.39%,Ent
Jan-26,88944f333,Blasius Kia,"5,098","1,068","4,030",480, 88.09 %,96.65%,Ent
Jan-26,88b67d13e,Zink Motor Company,191,0,191,8, 95.81 %,98.43%,SMB
Jan-26,88b77af86,Harvest Auto Family,"1,678",734,944,56, 94.07 %,98.2%,SMB
Jan-26,89caf2cee,"James Martin Chevrolet Buick, Inc.","1,031",326,705,212, 69.93 %,96.31%,Resellers
Jan-26,8P1R47T40,Autoland,383,383,0,0,,,SMB
Jan-26,8a181fd4e,Orangeville Hyundai,83,73,10,1, 90 %,100%,Mid
Jan-26,8b26bd689,Think Reliable Auto,748,153,595,43, 92.77 %,97.65%,SMB
Jan-26,8b3f18673,Olympic Hyundai Vancouver,"1,503",0,"1,503",224, 85.1 %,98.27%,Ent
Jan-26,8bbc0dce6,DIOGO MANUEL DA COSTA SANTOS UNIPESSOAL LDA,307,0,307,20, 93.49 %,99.02%,SMB
Jan-26,8beb245f4,5 Star Imports,"2,022",631,"1,391",173, 87.56 %,96.98%,SMB
Jan-26,8c9a487ac,Shawnee Mission Ford,444,79,365,80, 78.08 %,95.62%,Ent
Jan-26,8cbe5f508,Buy4Drive_Annually,81,0,81,8, 90.12 %,100%,SMB
Jan-26,8ce2dc4d9,Korf Motors,857,0,857,251, 70.71 %,93.82%,Ent
Jan-26,8d5afbfea,"Ohio Specialty Services, LTD.",697,156,541,133, 75.42 %,85.77%,SMB
Jan-26,8e2f0d75a,carvago2,"54,693",38,"54,655",944, 98.27 %,99.73%,SMB
Jan-26,8e8e48c9c,Dunning Motor Sales/ Dunning ford,"4,019",162,"3,857","1,226", 68.21 %,95.05%,Ent
Jan-26,8eafe01f6,Janssen Chrysler Jeep Dodge,"3,492",32,"3,460",844, 75.61 %,93.87%,Ent
Jan-26,8f01d4784,Columbus Luxury LLC DBA - Genesis Of Columbus,"2,302","1,362",940,96, 89.79 %,98.19%,Ent
Jan-26,8fc60390a,ONE STOP MOTORS MMB LTD,984,0,984,61, 93.8 %,98.07%,SMB
Jan-26,9016eb535,Bridgeton Auto Mall,"5,445","2,232","3,213",666, 79.27 %,95.86%,Ent
Jan-26,90410e297,Ryan Buick GMC Cadillac,"24,807","11,645","13,162","1,895", 85.6 %,96.62%,Ent
