month,enterprise_id,name,total images,direct qc_done,qced_images,incorrect_images,true_accuracy,post_qc_tool_accuracy,customer_segment
Jun-26,613ddcd2b,Rons Automotive/Carzlane Inc,"1,599",957,642,55, 91.43 %,100%,Ent
Jun-26,61c968504,The Used Car Guys GMBH,"4,314",293,"4,021",293, 92.71 %,99.58%,Ent
Jun-26,61cbf124e,BMI AUTO,345,0,345,60, 82.61 %,98.55%,SMB
Jun-26,62b56bdae,Safy Auto Sales,"1,355",209,"1,146",106, 90.75 %,98.87%,SMB
Jun-26,62e3303cd,Community Ford of Mooresville,"2,603",687,"1,916",229, 88.05 %,99.58%,Mid
Jun-26,63fd1927e,Automistic Car sales Ltd,41,2,39,8, 79.49 %,100%,SMB
Jun-26,640edb0f7,Bob Johnson Automotive Group,"73,348","33,036","40,312","4,425", 89.02 %,99.6%,Ent
Jun-26,6454b95ba,Asbury Automotive Management L.L.C,"375,966","45,133","330,833","68,705", 79.23 %,98.48%,Ent
Jun-26,6460d434f,Speedway Car Sales,"11,673","4,216","7,457","1,292", 82.67 %,97.47%,Ent
Jun-26,65027084d,New Deal Pre-Owned Autos,"2,616",0,"2,616",209, 92.01 %,99.96%,Ent
Jun-26,652ef9315,LuxuryMotorCars,"6,410","1,071","5,339",738, 86.18 %,98.41%,Mid
Jun-26,65bb3c871,Santa Motors CA,697,0,697,100, 85.65 %,98.42%,SMB
Jun-26,65c4c0ee4,Lexus of Lehigh Valley,"2,794",0,"2,794",236, 91.55 %,99.75%,Mid
Jun-26,65c97c6aa,Performance Automotive Network,"29,020","3,131","25,889","2,775", 89.28 %,99.67%,Ent
Jun-26,65ebbb271,Portsmouth Ford Lincoln,"15,090","5,970","9,120","1,028", 88.73 %,99.22%,Ent
Jun-26,665ea23b3,Rochester Toyota,"2,104",0,"2,104",275, 86.93 %,99.48%,Ent
Jun-26,6671ea5b6,ASK Motors,"3,513","2,060","1,453",161, 88.92 %,99.93%,SMB
Jun-26,673fce097,Zim's Auto Sales & Services Inc,748,247,501,62, 87.62 %,99.6%,SMB
Jun-26,67b1565d7,"Amigo Auto Group, Inc.","2,501","1,843",658,112, 82.98 %,100%,Ent
Jun-26,68cc99693,Gedi Route Cars Inc.,"1,615",120,"1,495",151, 89.9 %,99.06%,Mid
Jun-26,68fe4f5eb,Flexcar,"15,694",0,"15,694","3,569", 77.26 %,95.9%,Ent
Jun-26,691c6c716,Drivemax USA,657,0,657,184, 71.99 %,96.96%,SMB
Jun-26,6991aeb78,John Andrew Used Cars,510,0,510,81, 84.12 %,99.61%,Mid
Jun-26,6a10d4a7d,Freedom Chevrolet,"2,208",32,"2,176",395, 81.85 %,98.99%,Mid
Jun-26,6a8cd61ce,AceAutoInc,776,0,776,80, 89.69 %,99.61%,SMB
Jun-26,6adaaa143,Newport Beach Automotive Group,"1,199",0,"1,199",339, 71.73 %,97.91%,SMB
Jun-26,6add25efd,Vatland Auto Group,"18,427","6,062","12,365","1,127", 90.89 %,99.77%,Ent
Jun-26,6b212a82f,Starling Auto Group,"21,348","7,966","13,382","2,009", 84.99 %,99.65%,Ent
Jun-26,6b2eafec9,Generation Nissan,"3,781","1,082","2,699",167, 93.81 %,99.85%,Ent
Jun-26,6b542b985,Muelas SA,46,0,46,6, 86.96 %,100%,SMB
Jun-26,6c01ef385,Approval Genie (6929290 Canada Corp.),959,0,959,148, 84.57 %,99.37%,Ent
Jun-26,6d5f8744e,Ariana Motors,"1,373",614,759,76, 89.99 %,99.47%,SMB
Jun-26,6d7a9d414,Eagle Ridge Chevrolet Buick GMC,323,0,323,33, 89.78 %,100%,Mid
Jun-26,6d9a8c93b,Al Abdulghani Motors,545,0,545,94, 82.75 %,99.27%,Mid
Jun-26,6ecc6bf4b,Loyalty Volkswagen,669,223,446,42, 90.58 %,99.78%,Ent
Jun-26,6f158bbb9,Pixel Cars,"1,462",0,"1,462",173, 88.17 %,99.93%,Resellers
Jun-26,7094b3c15,Jeffrey's Auto Exchange,743,103,640,141, 77.97 %,99.38%,SMB
Jun-26,70abd0693,Bemidji Chrysler & Honda of Bemidji,876,0,876,57, 93.49 %,99.89%,Mid
Jun-26,70ba109c9,Koons Automotive Inc,262,68,194,11, 94.33 %,100%,SMB
Jun-26,716d304ef,"Lockwood Motors, Inc.","3,505","1,259","2,246",245, 89.09 %,99.51%,Mid
Jun-26,718e4c3f8,"Auto Smart, LLC",521,94,427,50, 88.29 %,99.53%,SMB
Jun-26,720bb9796,Airpark Motor Cars LLC,331,149,182,33, 81.87 %,100%,SMB
Jun-26,737a78084,Enkae Prestige Motors Ltd,"1,252",3,"1,249",123, 90.15 %,99.76%,SMB
Jun-26,740e108f7,Loyalty Toyota,"1,917",586,"1,331",187, 85.95 %,99.85%,Ent
Jun-26,749bac698,K&f Auto Sales And Service,403,0,403,123, 69.48 %,96.28%,SMB
Jun-26,75b816d9b,Ariana Motors,"1,201",768,433,73, 83.14 %,98.85%,SMB
Jun-26,75ee8c638,Ben Clymer's The Body Shop,375,0,375,123, 67.2 %,94.67%,Ent
Jun-26,765c2c7bd,Groton Ford,311,0,311,42, 86.5 %,100%,Mid
Jun-26,77ae840d7,Dimmitt Automotive Group,"32,969","11,958","21,011",731, 96.52 %,99.88%,Ent
Jun-26,77cd3a995,Sterling Acura of Austin,830,454,376,63, 83.24 %,100%,Mid
Jun-26,791cbccd7,Volvo of Princeton Inc,"11,735","5,379","6,356",769, 87.9 %,99.72%,Ent
Jun-26,79faced13,mclarty auto group (ams),"21,024","2,029","18,995","1,311", 93.1 %,99.96%,Ent
Jun-26,7a0316bc8,Speck Dealerships,"15,934","6,641","9,293","1,179", 87.31 %,99.38%,Ent
